,name,flattype_bhk,bathrooms,area_sqft,area_type,price,deposit,rentorsale,locality,link
0,Pragati Elanza,1,2,550,Built-up Area,37000,148000,rent,Ghatkopar East,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-rent-in-pragati-elanza-ghatkopar-east-central-mumbai-suburbs-550-sq-ft-spid-O84122948
1,Runwal Forests,2,2,700,Built-up Area,47000,150000,rent,Kanjurmarg west,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-runwal-forests-kanjurmarg-west-central-mumbai-suburbs-700-sq-ft-spid-T83293600
2,Sugee Preksha,2,2,693,Carpet Area,110000,300000,rent,Dadar East,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-sugee-preksha-dadar-east-south-mumbai-693-sq-ft-spid-U84468564
3,Godrej The Trees,1,1,650,Super Built-up Area,69900,209700,rent,Vikhroli East,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-rent-in-godrej-the-trees-vikhroli-east-central-mumbai-suburbs-650-sq-ft-spid-Q83082324
4,Avvad Shubham Atlanta,2,2,685,Carpet Area,65000,225000,rent,Pant Nagar,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-avvad-shubham-atlanta-pant-nagar-central-mumbai-suburbs-685-sq-ft-spid-Y83956446
5,Runwal Forests,2,2,700,Built-up Area,46000,140000,rent,Kanjurmarg west,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-runwal-forests-kanjurmarg-west-central-mumbai-suburbs-700-sq-ft-spid-C83293712
6,Sheth Vasant Blossom,2,2,694,Carpet Area,72500,150000,rent,Marol,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-sheth-vasant-blossom-marol-mumbai-andheri-dahisar-694-sq-ft-r3-spid-K76278063
7,Pragati Elanza,2,2,685,Carpet Area,60000,200000,rent,Ghatkopar East,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-pragati-elanza-ghatkopar-east-central-mumbai-suburbs-685-sq-ft-spid-E83956522
8,Godrej Tranquil,2,2,700,Carpet Area,46000,200000,rent,Kandivali East,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-godrej-tranquil-kandivali-east-mumbai-andheri-dahisar-700-sq-ft-spid-C84213844
9,D D Om Makarand Heights,1,2,409,Carpet Area,36000,150000,rent,Ghatkopar East,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-rent-in-d-d-om-makarand-heights-ghatkopar-east-central-mumbai-suburbs-409-sq-ft-spid-E83763200
10,Amal Madhu Vasant CHS,1,2,450,Carpet Area,64000,200000,rent,Vile Parle East,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-rent-in-amal-madhu-vasant-chs-vile-parle-east-western-mumbai-450-sq-ft-spid-M84357866
11,Godrej The Trees,1,1,650,Super Built-up Area,68000,204000,rent,Vikhroli East,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-rent-in-godrej-the-trees-vikhroli-east-central-mumbai-suburbs-650-sq-ft-spid-D83493136
12,White City,1,1,479,Carpet Area,40000,125000,rent,Lokhandwala Kandivali East,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-rent-in-white-city-lokhandwala-kandivali-east-mumbai-andheri-dahisar-479-sq-ft-spid-U83663088
13,Kanakia Silicon Valley,2,2,666,Carpet Area,128000,384000,rent,Powai,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-powai-central-mumbai-suburbs-666-sq-ft-spid-C84368782
14,Lodha Estrella,1,1,555,Super Built-up Area,83000,200000,rent,Wadala,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-rent-in-lodha-estrella-wadala-south-mumbai-555-sq-ft-r3-spid-R66043976
15,Paschim Apartments,1,1,550,Super Built-up Area,111000,666000,rent,Prabhadevi,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-rent-in-paschim-apartments-prabhadevi-south-mumbai-650-sq-ft-spid-F84442038
16,Aristo Lloyds Estate,2,2,700,Carpet Area,65000,0,rent,Wadala East,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-aristo-lloyds-estate-wadala-east-south-mumbai-700-sq-ft-spid-C83685692
17,Milind Madhura Tower,1,1,525,Carpet Area,45000,100000,rent,Amboli,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-rent-in-milind-madhura-tower-amboli-mumbai-andheri-dahisar-525-sq-ft-spid-Y84139264
18,Kanakia Zen World,2,2,555,Carpet Area,50000,150000,rent,Kanjurmarg East,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-kanakia-zen-world-kanjurmarg-east-central-mumbai-suburbs-555-sq-ft-spid-Q84137420
19,Lodha NCP,2,2,637,Carpet Area,110000,330000,rent,Wadala,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-lodha-ncp-wadala-south-mumbai-637-sq-ft-spid-C83108560
20,On Request,2,2,672,Carpet Area,130000,390000,rent,Matunga West,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-matunga-west-mumbai-south-672-sq-ft-spid-A83940122
21,Evershine Phase 4,2,2,620,Carpet Area,53000,200000,rent,Thakur complex,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-evershine-phase-4-thakur-complex-mumbai-andheri-dahisar-620-sq-ft-spid-N83827222
22,Ashar Maple,2,2,524,Carpet Area,40000,150000,rent,Vaishali Nagar,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-ashar-maple-vaishali-nagar-central-mumbai-suburbs-524-sq-ft-spid-Z83848458
23,Dosti Eastern Bay,2,2,670,Carpet Area,95000,285000,rent,Wadala East,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-dosti-eastern-bay-wadala-east-south-mumbai-670-sq-ft-r1-spid-I80854067
24,Dosti Eastern Bay,2,2,686,Carpet Area,90000,0,rent,Wadala East,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-dosti-eastern-bay-wadala-east-south-mumbai-686-sq-ft-r2-spid-B80097409
25,ON REQUEST,2,2,650,Carpet Area,60000,200000,rent,Tilak nagar,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-tilak-nagar-central-mumbai-650-sq-ft-spid-W83971106
26,Runwal Forests,2,2,661,Carpet Area,56000,200000,rent,Kanjurmarg west,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-runwal-forests-kanjurmarg-west-central-mumbai-suburbs-661-sq-ft-spid-T84160828
27,Sheth Avante,1,2,685,Built-up Area,40000,125000,rent,Kanjurmarg west,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-rent-in-sheth-avante-kanjurmarg-west-central-mumbai-suburbs-685-sq-ft-spid-U83979496
28,Hiranandani Highland,2,2,650,Carpet Area,95000,350000,rent,Powai,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-hiranandani-highland-powai-central-mumbai-suburbs-650-sq-ft-spid-Y82858788
29,Skyline Neelkanth Kunj,2,2,685,Carpet Area,68000,272000,rent,Garodia Nagar,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-skyline-neelkanth-kunj-garodia-nagar-central-mumbai-suburbs-685-sq-ft-spid-C84355478
30,Vasant Marvel Glory,2,2,675,Carpet Area,54000,150000,rent,Borivali East,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-vasant-marvel-glory-borivali-east-mumbai-andheri-dahisar-675-sq-ft-spid-Z83519790
31,Dosti Acres,2,2,700,Carpet Area,80000,240000,rent,Wadala East,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-dosti-acres-wadala-east-south-mumbai-700-sq-ft-spid-I83577206
32,Satyam Springs,1,1,425,Super Built-up Area,55000,150000,rent,Deonar,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-rent-in-satyam-springs-deonar-central-mumbai-425-sq-ft-spid-Y83958004
33,Sidhivinayak  Adora,1,2,500,Carpet Area,45000,135000,rent,Ghatkopar East,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-rent-in-ghatkopar-east-central-mumbai-suburbs-500-sq-ft-spid-A84320362
34,Sunrise CHS,1,2,600,Carpet Area,90000,4,rent,Reclamation,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-rent-in-sunrise-chs-reclamation-western-mumbai-600-sq-ft-spid-R84209468
35,Paschim Apartments,1,1,550,Super Built-up Area,115000,690000,rent,Prabhadevi,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-rent-in-paschim-apartments-prabhadevi-south-mumbai-550-sq-ft-spid-K84155596
36,VINDHYACHAL APARTMENT,1,2,500,Carpet Area,115000,345000,rent,Bandra West,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-rent-in-bandra-west-western-mumbai-500-sq-ft-spid-Z84261608
37,ON REQUEST,2,2,650,Carpet Area,80000,200000,rent,Chembur East,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-chembur-east-central-mumbai-650-sq-ft-spid-J83767402
38,arcad bhoomi,2,3,700,Carpet Area,55000,220000,rent,mg road,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-mumbai-andheri-dahisar-700-sq-ft-spid-Y84226936
39,Gurukrupa Aagam,1,2,415,Carpet Area,41000,164000,rent,Ghatkopar East,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-rent-in-gurukrupa-aagam-ghatkopar-east-central-mumbai-suburbs-415-sq-ft-spid-D84122156
40,Sheth Vasant Blossom,2,2,694,Carpet Area,79999,239997,rent,Gamdevi,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-sheth-vasant-blossom-gamdevi-mumbai-andheri-dahisar-694-sq-ft-spid-O84276296
41,Godrej The Trees,1,1,650,Super Built-up Area,68100,204300,rent,Vikhroli East,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-rent-in-godrej-the-trees-vikhroli-east-central-mumbai-suburbs-650-sq-ft-spid-B84259260
42,rijhumahal,1,2,700,Carpet Area,130000,390000,rent,Peddar Road,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-rent-in-peddar-road-south-mumbai-700-sq-ft-spid-H84196398
43,"SAHDEV CHS LTD, N.L COMPLEX",1,1,395,Super Built-up Area,23000,100000,rent,Anand Nagar,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-rent-in-anand-nagar-dahisar-east-mumbai-andheri-dahisar-395-sq-ft-spid-V84350030
44,Eastren Bay,2,2,686,Carpet Area,93000,300000,rent,Wadala East,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-wadala-east-south-mumbai-686-sq-ft-r2-spid-W78477071
